,genes
531,KIAA0247
532,KIAA0754
533,KIAA1211
534,KIAA1551
535,KIAA1586
536,KIAA1656
537,KIF11
538,KIF15
539,KIF1A
540,KIF20A
541,KIF20B
542,KIN
543,KIRREL3
544,KISS1R
545,KIZ
546,KLHL22
547,KLHL35
548,KLHL9
549,KLK3
550,KLRG1
551,KMT2E
552,KPNA2
553,KPRP
554,KRT17P5
555,KRT4
556,KRT5
557,KRT85
558,KRTAP10-11
559,KRTAP10-2
560,KRTAP5-7
561,L3MBTL3
562,LAMA2
563,LAMC3
564,LARP1
565,LCT
566,LEPR
567,LEPREL1
568,LGALS8-AS1
569,LGALS9C
570,LGMN
571,LGSN
572,LILRA3
573,LILRA6
574,LINC-ROR
575,LINC00189
576,LINC00297
577,LINC00304
578,LINC00333
579,LINC00343
580,LINC00348
581,LINC00486
582,LINC00491
583,LINC00571
584,LINC00592
585,LINC00597
586,LINC00693
587,LINC00840
588,LINC00854
589,LINC00906
590,LINC00910
591,LINC00970
592,LINC01139
593,LINC01150
594,LINC01163
595,LINC01170
596,LINC01257
597,LINC01278
598,LIPE-AS1
599,LIPF
600,LIX1
601,LL22NC01-81G9.3
602,LMNA
603,LOC100093631
604,LOC100128568
605,LOC100129940
606,LOC100130987
607,LOC100131564
608,LOC100132078
609,LOC100133315
610,LOC100289656
611,LOC100422556
612,LOC100505812
613,LOC100505915
614,LOC100506159
615,LOC100506178
616,LOC100506325
617,LOC100506585
618,LOC100507377
619,LOC100507600
620,LOC100996579
621,LOC100996876
622,LOC101593348
623,LOC101926935
624,LOC101927100
625,LOC101927102
626,LOC101927136
627,LOC101927472
628,LOC101927492
629,LOC101927495
630,LOC101927666
631,LOC101927667
632,LOC101927811
633,LOC101927829
634,LOC101927830+TMLHE-AS1
635,LOC101928068
636,LOC101928134
637,LOC101928161
638,LOC101928336
639,LOC101928404
640,LOC101928569
641,LOC101928618
642,LOC101928710
643,LOC101928823
644,LOC101929099
645,LOC101929148
646,LOC101929224
647,LOC101929234
648,LOC102723385
649,LOC102724190
650,LOC102724297
651,LOC102724555
652,LOC102724604
653,LOC102800447
654,LOC285762
655,LOC400684
656,LOC440416
657,LOC440446
658,LOC645354+LOC649324
659,LOC646626
660,LOC729930
661,LOC729950
662,LOC731157
663,LOC81691
664,LOC93622
665,LOXL1
666,LPAR1
667,LPXN
668,LRIG2
669,LRIG3
670,LRMP
671,LRRC23
672,LRRC25
673,LRRC42
674,LRRC4C
675,LRRK2
676,LRRN3
677,LTB4R2
678,LUC7L2
679,LXN
680,LYPD5
681,LYPLAL1
682,LYRM7
683,MAD2L1
684,MAEL
685,MAGED2
686,MAK
687,MAMDC2
688,MAN1A2
689,MAN2A1
690,MAN2A2
691,MANF
